,tweet
215,DonaldTrump is using his foundation—funded by other people's money—to settle lawsuits. https://t.co/2LRtZBls9A
216,"DonaldTrump cannot be trusted with his own Charitableorganization, but we are supposed to believe he can manage the nation’s treasury? https://t.co/DtX6C7Rftb"
217,"""Our identities do not have to be defined by putting someone else down but can be enhanced by lifting someone else up"" —PresidentoftheUnitedStates at #UnitedNationsGeneralAssembly"
218,"""TheVoiceAmericanTVseries of your vote is the greatest voice we have."" —@NyleDiMarco

https://t.co/tTgeqxNqYm https://t.co/X3oqEoOYsU"
219,"""No one has the right to immigrate to this country."" —DonaldTrump during his Rallying in FloridaToday

We disagree. https://t.co/9gS9q5vQS9"
220,Catch @FallonTonight at 11:35pm ET to see letters from some of Hillary's MTVEuropeMusicAwardforBiggestFans. https://t.co/muVNwgLSRs
221,"""You want to give me a good send-off? Gogame vote.” —BarackObama: https://t.co/tTgeqxNqYm https://t.co/Jqf2jmx3D0"
222,Nobody in UnitedStates should have to forgo a Highereducation because they can't afford it. https://t.co/DhSlyM6ILQ
223,BarackObama said progress is on the Ballot this November. This Economicdata shows he’s right. https://t.co/CIoKKKIxqz
224,UnitedStates has never made progress by thinking one person alone can fix our problems. https://t.co/mYba5FCBrb
225,"""Everyone who wants to go to college should be able to without Drowning in Debt."" —Hillary https://t.co/wDxspmxT9Q"
226,Be a voter. Check your registration and help your friends do the same → https://t.co/tTgeqxNqYm https://t.co/yTAG2iT8WL
227,"When @HillaryClinton says she’s going to make public colleges and University tuition-free, you know what? That's a very big deal."
228,"Let’s make clear that Love Trumpcardgames hate—not just this November, but always. https://t.co/wDxspmxT9Q"
229,Find out how much Hillary's college plan will save you: https://t.co/svkSUzhwYz https://t.co/tmHf8m2CdX
230,"""TheLesson she passed on to me was simple but powerful: No one gets through life alone."" —Hillary on her mom https://t.co/gzNvfNPeNu"
231,"When we work together, we will Playingcardsuit hate. https://t.co/tTgeqxNqYm"
232,Gogame to https://t.co/SvSvlg48vI and register to vote today. Register your friends. Register everyone you know.
233,"We have to stand up to this hate.

We have to send a Plaintext: 
UnitedStates is better than this.
UnitedStates is better than DonaldTrump."
234,"We're facing a candidate with a history of Discrimination in his businesses, who Twitter Whitesupremacy, and led the BarackObamacitizenshipconspiracytheories."
235,"In a Democracy, if you want to help the greatest number of people, you have to push for reform from both the outside-in and the GuitarFreaksandDrumMania."
236,"Simply caring is not enough. To drive real progress, you have to change both hearts and laws. https://t.co/oZIm2is1lX"
